,6.0%,7.0%,8.0%,9.0%,10.0%,11.0%,12.0%,13.0%,14.0%,15.0%,EW,60/40
2009-02-28,-0.0006519778563401945,-0.0014897070942457584,-0.0014014098821119355,-0.0007239144045156252,0.000980892254366254,0.002472666021621881,0.0039002937328655044,0.005283861526848354,0.0066358962427916345,0.007963741200238806,-0.05979651596103193,-0.06684660182781857
2009-03-31,0.0004893376801774175,0.0013834763097881982,0.0016421538215195624,0.0013717759856114366,0.0001555581339853134,-0.0010465539631445654,-0.0022384021059534175,-0.005304771980808043,-0.008917541821958433,-0.012461189791148035,0.050575547707589576,0.06578205415953127
2009-04-30,-0.005111074485921387,-0.006133901464563578,-0.007335604315989416,-0.01010795201440794,-0.012946533046493538,-0.015750648489502347,-0.018526059705727554,-0.02128567791393307,-0.024028082579913027,-0.026760462314621043,0.06645652363036714,0.04642692379724229
2009-05-31,0.028643858831039374,0.031491533708376845,0.03504786416951568,0.0398397705823133,0.04587525757706521,0.051834098400191216,0.05859247480563044,0.06655578160581861,0.0743110180829963,0.08191112520692355,0.04659577888193984,0.025239796076800578
2009-06-30,-0.01531753107987437,-0.017423509787564042,-0.017937668832611543,-0.022331732145468155,-0.02665053057710732,-0.030324848894205697,-0.03333022646539074,-0.036247693158999866,-0.039100879894833594,-0.041905272624433804,0.0031398829301380257,-0.0010325956333631318
2009-07-31,0.021612056061368352,0.025789082115283038,0.02737560452498673,0.028185932005849998,0.029066956104736735,0.029936230771985275,0.031381312081874946,0.03299963710937149,0.03458298323586306,0.03614006813782531,0.054267144786631666,0.04869163898201543
2009-08-31,0.0030897233037599204,0.003713150729576658,0.002654913827183873,0.0023473575639961558,0.0020731691712821488,0.0018025067595224765,0.0015342314472997223,0.0012680406756901987,0.0008050300362364209,0.0002996239331567075,0.015208883312445187,0.024712233785431213
2009-09-30,0.026901813585271214,0.031426877641074054,0.03429761416239128,0.037845294540477525,0.04146540495668269,0.045036996292403916,0.048573906053728515,0.052084562781480395,0.0555737188988821,0.05900247371361507,0.03755466961610777,0.026870508089483856
2009-10-31,0.007844846840400712,0.009132817871602077,0.012723160885754554,0.014521767384434649,0.01621410501019932,0.017883792557622045,0.019533612318041158,0.021166710828019457,0.022790334996123048,0.024406685784631857,-0.014461788962983696,-0.011719297864645649
2009-11-30,0.03853288344083622,0.04500769230296898,0.05071948709204448,0.05685177659416254,0.06291756162559732,0.06890448682269451,0.07483147746154384,0.08071467737642035,0.08656442576683242,0.09238819828029875,0.038866873872519164,0.04405157930477448
2009-12-31,-0.017591733304310266,-0.020859726472348343,-0.02411615342493096,-0.02657059680092018,-0.028954727393202245,-0.031307879250742424,-0.03363714249406295,-0.035950060564145,-0.038249837866240546,-0.04053873681476188,0.010899793397382118,-0.006034413019938657
2010-01-31,-0.0032170125216475372,-0.0035416309185860857,-0.004131230725636099,-0.004705222299933146,-0.005608573110973734,-0.006499689533340112,-0.007381818620990561,-0.00851030662975416,-0.011026511436150832,-0.013498838381809685,-0.020728996199815025,-0.01211816900601428
2010-02-28,0.01256201853928611,0.01516080741791299,0.017397840459820787,0.01833577545003499,0.019218969969829514,0.02009075526173552,0.020953510408765176,0.021810123292280933,0.02266213884722487,0.02350934359035113,0.019062196573093146,0.0198797421680478
2010-03-31,0.005366046672333829,0.00662068346461366,0.008036608152954903,0.008387497591510478,0.008475059664607407,0.008561369043625694,0.008646189942508424,0.008731579678479515,0.008800449149505101,0.008809653236754172,0.036293405851979196,0.031982214896290405
2010-04-30,0.016794463216357053,0.01905401856209073,0.019851000785876382,0.022742798809471457,0.026248837777998527,0.029708524016266554,0.03313418542714197,0.036535077143528,0.03991595486701441,0.04328183379799516,0.017797090657960896,0.016070602131192713
2010-05-31,0.006588322543477298,0.008316139324913444,0.008533089652569964,0.00829575365086909,0.008009806848274762,0.007727975154275985,0.007448493396100732,0.007171484083802373,0.006895693898649768,0.006621174704605577,-0.03916480025375726,-0.0361868779331665
